0 | ControlType.TitleBar | TitleBar | 测试项目 — DarkGrey RPG Studio 0.3.3.1-wpb-preview | 238,53,1445,28 | enabled=True
33 | ControlType.Button | CanonicalReferenceResource | 引用已有资源 | 544,208,32,32 | enabled=False
34 | ControlType.Button | CanonicalDeleteResource | 删除资源或解除引用 | 579,208,32,32 | enabled=False
35 | ControlType.Pane |  |  | 298,264,316,567 | enabled=True
36 | ControlType.List |  |  | 298,264,316,567 | enabled=True
37 | ControlType.DataItem |  | DarkGreyRPG.Studio.ViewModels.Graph.CanonicalStoryFolderViewModel | 298,264,316,123 | enabled=True
38 | ControlType.Group |  | 角色 | 298,267,316,118 | enabled=True
39 | ControlType.Button | HeaderToggle | 角色 | 298,267,64,34 | enabled=True
40 | ControlType.Text |  | 角色 | 319,272,39,24 | enabled=True
41 | ControlType.List |  |  | 310,304,304,74 | enabled=True
42 | ControlType.DataItem |  | CanonicalStoryActorItem { Actor = ActorResourceInfo { Id = GreyHat_:TarvenBoss, DisplayName = 酒馆老板, SourcePath = E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\live-project\actors\x477265794861745f\x54617276656e426f7373.json, Tags = System.String[], Type = individual, DefaultPortraitRef = media/2118e40a9a6e8152816b0e4509494cf80d5d259ad408e6c533657468a9537ef2.png, PortraitVariants = DarkGreyRPG.Studio.Core.Actors.ActorPortraitVariant[] }, MembershipKind = Owned, Provider = , IsReadOnly = False, ProviderPackageText = , SourceText = , Id = GreyHat_:TarvenBoss, DisplayName = 酒馆老板, IdentityText = [NPC_ID] GreyHat_ : TarvenBoss, IsOwned = True, IsReferenced = False } | 310,304,304,37 | enabled=True
43 | ControlType.Button |  | 酒馆老板  [NPC_ID] GreyHat_ : TarvenBoss | 310,305,302,34 | enabled=True
44 | ControlType.Text |  | 酒馆老板  [NPC_ID] GreyHat_ : TarvenBoss | 321,311,279,22 | enabled=True
45 | ControlType.DataItem |  | CanonicalStoryActorItem { Actor = ActorResourceInfo { Id = GreyHat_:Slimes, DisplayName = 史莱姆群, SourcePath = E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\live-project\actors\x477265794861745f\x536c696d6573.json, Tags = System.String[], Type = collective, DefaultPortraitRef = , PortraitVariants = DarkGreyRPG.Studio.Core.Actors.ActorPortraitVariant[] }, MembershipKind = Owned, Provider = , IsReadOnly = False, ProviderPackageText = , SourceText = , Id = GreyHat_:Slimes, DisplayName = 史莱姆群, IdentityText = [Group_ID] GreyHat_ : Slimes, IsOwned = True, IsReferenced = False } | 310,341,304,37 | enabled=True
46 | ControlType.Button |  | 史莱姆群  [Group_ID] GreyHat_ : Slimes | 310,342,290,34 | enabled=True
47 | ControlType.Text |  | 史莱姆群  [Group_ID] GreyHat_ : Slimes | 321,348,267,22 | enabled=True
48 | ControlType.DataItem |  | DarkGreyRPG.Studio.ViewModels.Graph.CanonicalStoryFolderViewModel | 298,387,316,161 | enabled=True
49 | ControlType.Group |  | 物品 | 298,390,316,155 | enabled=True
50 | ControlType.Button | HeaderToggle | 物品 | 298,390,64,34 | enabled=True
51 | ControlType.Text |  | 物品 | 319,395,39,24 | enabled=True
52 | ControlType.List |  |  | 310,427,304,111 | enabled=True
53 | ControlType.DataItem |  | CanonicalStoryItemItem { Item = DarkGreyRPG.Studio.Core.Items.IndividualItemResource, MembershipKind = Owned, Provider = , IsReadOnly = False, ProviderPackageText = , SourceText = , Id = GreyHat_:CopperCoin, DisplayName = 铜币, IdentityText = [Item_ID] GreyHat_ : CopperCoin, Type = individual, Tags = System.Collections.Generic.List`1[System.String], IsOwned = True, IsReferenced = False } | 310,427,304,37 | enabled=True
54 | ControlType.Button |  | 铜币  [Item_ID] GreyHat_ : CopperCoin | 310,428,279,35 | enabled=True
55 | ControlType.Text |  | 铜币  [Item_ID] GreyHat_ : CopperCoin | 321,434,257,22 | enabled=True
56 | ControlType.DataItem |  | CanonicalStoryItemItem { Item = DarkGreyRPG.Studio.Core.Items.CollectiveItemResource, MembershipKind = Owned, Provider = , IsReadOnly = False, ProviderPackageText = , SourceText = , Id = GreyHat_:TestItemGroup, DisplayName = 测试用物品组, IdentityText = [Group_ID] GreyHat_ : TestItemGroup, Type = collective, Tags = System.Collections.Generic.List`1[System.String], IsOwned = True, IsReferenced = False } | 310,464,304,37 | enabled=True
57 | ControlType.Button |  | 测试用物品组  [Group_ID] GreyHat_ : TestItemGroup | 310,465,292,34 | enabled=True
58 | ControlType.Text |  | 测试用物品组  [Group_ID] GreyHat_ : TestItemGroup | 321,471,270,22 | enabled=True
59 | ControlType.DataItem |  | CanonicalStoryItemItem { Item = DarkGreyRPG.Studio.Core.Items.IndividualItemResource, MembershipKind = Owned, Provider = , IsReadOnly = False, ProviderPackageText = , SourceText = , Id = GreyHat_:TEST, DisplayName = 测试物品3, IdentityText = [Item_ID] GreyHat_ : TEST, Type = individual, Tags = System.Collections.Generic.List`1[System.String], IsOwned = True, IsReferenced = False } | 310,501,304,37 | enabled=True
60 | ControlType.Button |  | 测试物品3  [Item_ID] GreyHat_ : TEST | 310,502,278,34 | enabled=True
61 | ControlType.Text |  | 测试物品3  [Item_ID] GreyHat_ : TEST | 321,508,256,22 | enabled=True
62 | ControlType.DataItem |  | DarkGreyRPG.Studio.ViewModels.Graph.CanonicalStoryFolderViewModel | 298,548,316,123 | enabled=True
63 | ControlType.Group |  | 会话 | 298,550,316,118 | enabled=True
64 | ControlType.Button | HeaderToggle | 会话 | 298,550,64,34 | enabled=True
65 | ControlType.Text |  | 会话 | 319,555,39,24 | enabled=True
66 | ControlType.List |  |  | 310,587,304,74 | enabled=True
67 | ControlType.DataItem |  | DarkGreyRPG.Studio.ViewModels.Graph.CanonicalStoryGraphItem | 310,587,304,37 | enabled=True
68 | ControlType.Button |  | 酒馆聊天  [Session_ID] GreyHat_ : Firest | 310,588,291,35 | enabled=True
69 | ControlType.Text |  | 酒馆聊天  [Session_ID] GreyHat_ : Firest | 321,594,268,22 | enabled=True
70 | ControlType.DataItem |  | DarkGreyRPG.Studio.ViewModels.Graph.CanonicalStoryGraphItem | 310,624,304,37 | enabled=True
71 | ControlType.Button |  | 任务完成  [Session_ID] GreyHat_ : TaskFinish | 310,625,299,34 | enabled=True
72 | ControlType.Text |  | 任务完成  [Session_ID] GreyHat_ : TaskFinish | 321,631,276,22 | enabled=True
73 | ControlType.DataItem |  | DarkGreyRPG.Studio.ViewModels.Graph.CanonicalStoryFolderViewModel | 298,671,316,86 | enabled=True
74 | ControlType.Group |  | 任务 | 298,673,316,81 | enabled=True
75 | ControlType.Button | HeaderToggle | 任务 | 298,673,64,35 | enabled=True
76 | ControlType.Text |  | 任务 | 319,678,39,25 | enabled=True
77 | ControlType.List |  |  | 310,710,304,37 | enabled=True
78 | ControlType.DataItem |  | DarkGreyRPG.Studio.ViewModels.Graph.CanonicalStoryGraphItem | 310,710,304,37 | enabled=True
79 | ControlType.Button |  | 击杀3只史莱姆  [Task_ID] GreyHat_ : KillSlimes | 310,711,291,35 | enabled=True
80 | ControlType.Text |  | 击杀3只史莱姆  [Task_ID] GreyHat_ : KillSlimes | 321,717,269,23 | enabled=True
81 | ControlType.Thumb |  |  | 630,184,10,662 | enabled=True
82 | ControlType.List |  |  | 652,192,623,30 | enabled=True
83 | ControlType.DataItem |  | CanonicalStoryBreadcrumb { Id = test_project, DisplayName = 测试项目, Kind = Project, ResourceKind = , IsFirst = True, IsCurrent = False } | 652,192,84,30 | enabled=True
84 | ControlType.Button |  | 测试项目 | 652,192,84,30 | enabled=True
85 | ControlType.Text |  | 测试项目 | 659,196,70,22 | enabled=True
86 | ControlType.DataItem |  | CanonicalStoryBreadcrumb { Id = GreyHat_:test_story, DisplayName = 测试故事, Kind = Story, ResourceKind = Story, IsFirst = False, IsCurrent = True } | 736,192,105,30 | enabled=True
87 | ControlType.Text |  | > | 740,196,13,22 | enabled=True
88 | ControlType.Button |  | 测试故事 | 757,192,84,30 | enabled=True
89 | ControlType.Text |  | 测试故事 | 764,196,69,22 | enabled=True
90 | ControlType.Custom | CanonicalStoryWorkspaceGraph | 节点图编辑器 | 640,232,648,614 | enabled=True
91 | ControlType.Button |  | 图编辑器缩放到百分之百 | 640,232,68,34 | enabled=True
92 | ControlType.Text |  | 100% | 651,238,46,22 | enabled=True
93 | ControlType.Button |  | 适应全部图节点 | 713,232,57,34 | enabled=True
94 | ControlType.Text |  | 适应 | 724,238,35,22 | enabled=True
95 | ControlType.Button |  | 重置图视图 | 775,232,57,34 | enabled=True
96 | ControlType.Text |  | 重置 | 786,238,35,22 | enabled=True
97 | ControlType.Button | ScissorsButton | 剪断连线 | 837,232,57,34 | enabled=True
98 | ControlType.Text |  | 剪刀 | 848,238,35,22 | enabled=True
99 | ControlType.Text |  | 拖动节点移动 · 空白拖动框选 · Shift 拖动节点插线 · 中键平移 · 滚轮缩放 | 909,239,552,27 | enabled=True
100 | ControlType.Custom | CanonicalGraphNode_start | 图节点 开始 start | 636,390,287,743 | enabled=True
101 | ControlType.Text |  | 开始 | 648,399,263,22 | enabled=True
102 | ControlType.Button | CanonicalGraphPort_start_dynamic_port_08b077ba44af453f9b50d82ef3f64df8 | start 输入端口 dynamic_port_08b077ba44af453f9b50d82ef3f64df8 (Logic) | 646,435,134,25 | enabled=True
103 | ControlType.Text |  | 条件：启动条件 2 | 677,439,107,18 | enabled=True
104 | ControlType.Button | CanonicalGraphPort_start_story_trigger_f8a178bc31d04e618fefedd5c8cac7ce | start 输出端口 story_trigger_f8a178bc31d04e618fefedd5c8cac7ce (Flow) | 780,435,134,25 | enabled=True
105 | ControlType.Text |  | 启动条件 1 | 816,439,67,18 | enabled=True
106 | ControlType.Button | CanonicalGraphPort_start_dynamic_port_b103966b682a4b4e8546eea52f97d43f | start 输出端口 dynamic_port_b103966b682a4b4e8546eea52f97d43f (Flow) | 780,460,134,25 | enabled=True
107 | ControlType.Text |  | 启动条件 2 | 816,464,67,17 | enabled=True
108 | ControlType.Group | CanonicalNodeParameterSummary | 参数 | 646,494,268,629 | enabled=True
109 | ControlType.Button | HeaderSite | 参数 | 648,496,263,24 | enabled=True
110 | ControlType.Text |  | 参数 | 677,497,34,22 | enabled=True
111 | ControlType.Custom | Root |  | 651,526,258,595 | enabled=True
112 | ControlType.CheckBox | InlineStartRepeatableToggle | Story Start repeatable | 651,526,148,40 | enabled=True
113 | ControlType.Text |  | 可重复 | 687,533,52,22 | enabled=True
114 | ControlType.List |  |  | 651,573,258,511 | enabled=True
115 | ControlType.DataItem |  | DarkGreyRPG.Studio.ViewModels.Graph.CanonicalStoryStartTriggerViewModel | 651,573,258,277 | enabled=True
116 | ControlType.Text |  | 启动条件 1 | 662,592,204,22 | enabled=True
117 | ControlType.Button | InlineStartRemoveTrigger | − | 870,589,27,27 | enabled=True
118 | ControlType.Text |  | − | 877,592,13,22 | enabled=True
119 | ControlType.Text |  | 名称 | 662,626,235,22 | enabled=True
120 | ControlType.Edit | InlineStartTriggerName |  | 662,651,235,39 | enabled=True
121 | ControlType.Text |  | 类型 | 662,698,235,22 | enabled=True
122 | ControlType.ComboBox | InlineStartTriggerType |  | 662,722,235,40 | enabled=True
123 | ControlType.Text |  | 目标角色 | 662,769,235,22 | enabled=True
124 | ControlType.ComboBox | InlineStartActor |  | 662,794,235,40 | enabled=True
125 | ControlType.DataItem |  | DarkGreyRPG.Studio.ViewModels.Graph.CanonicalStoryStartTriggerViewModel | 651,850,258,234 | enabled=True
126 | ControlType.Text |  | 启动条件 2 | 662,868,204,22 | enabled=True
127 | ControlType.Button | InlineStartRemoveTrigger | − | 870,866,27,27 | enabled=True
128 | ControlType.Text |  | − | 877,868,13,22 | enabled=True
129 | ControlType.Text |  | 名称 | 662,903,235,22 | enabled=True
130 | ControlType.Edit | InlineStartTriggerName |  | 662,927,235,40 | enabled=True
131 | ControlType.Text |  | 类型 | 662,974,235,22 | enabled=True
132 | ControlType.ComboBox | InlineStartTriggerType |  | 662,999,235,39 | enabled=True
133 | ControlType.Text |  | 连接此启动条件的逻辑输入端口 | 662,1046,243,22 | enabled=True
134 | ControlType.Button | InlineStartAddTrigger | ＋ 启动条件 | 651,1092,107,29 | enabled=True
135 | ControlType.Text |  | ＋ 启动条件 | 658,1095,92,22 | enabled=True
136 | ControlType.Custom | CanonicalGraphNode_node_450e03c86ff64f609a9ed65106598c3d | 图节点 终止 node_450e03c86ff64f609a9ed65106598c3d | 1598,257,288,114 | enabled=True
137 | ControlType.Text |  | 终止 | 1610,266,263,22 | enabled=True
138 | ControlType.Button | CanonicalGraphPort_node_450e03c86ff64f609a9ed65106598c3d_flow_in | node_450e03c86ff64f609a9ed65106598c3d 输入端口 flow_in (Flow) | 1608,303,134,25 | enabled=True
139 | ControlType.Text |  | 流程输入 | 1639,307,55,17 | enabled=True
140 | ControlType.Custom | CanonicalGraphNode_aggregate_f13035cb17b44b8581463803a0a2ce97 | 图节点 酒馆聊天 aggregate_f13035cb17b44b8581463803a0a2ce97 | 1150,440,287,114 | enabled=True
141 | ControlType.Text |  | 酒馆聊天 | 1162,449,263,22 | enabled=True
142 | ControlType.Button | CanonicalGraphPort_aggregate_f13035cb17b44b8581463803a0a2ce97_flow_in | aggregate_f13035cb17b44b8581463803a0a2ce97 输入端口 flow_in (Flow) | 1160,486,134,25 | enabled=True
143 | ControlType.Text |  | 流程输入 | 1191,490,54,17 | enabled=True
144 | ControlType.Button | CanonicalGraphPort_aggregate_f13035cb17b44b8581463803a0a2ce97_dynamic_port_8f5113cf1947459798da46081396c383 | aggregate_f13035cb17b44b8581463803a0a2ce97 输出端口 dynamic_port_8f5113cf1947459798da46081396c383 (Flow) | 1294,486,133,25 | enabled=True
145 | ControlType.Text |  | 拒绝 | 1369,490,27,17 | enabled=True
146 | ControlType.Button | CanonicalGraphPort_aggregate_f13035cb17b44b8581463803a0a2ce97_dynamic_port_95992c84698c4c4cb43d2938545cd23f | aggregate_f13035cb17b44b8581463803a0a2ce97 输出端口 dynamic_port_95992c84698c4c4cb43d2938545cd23f (Flow) | 1294,511,133,24 | enabled=True
147 | ControlType.Text |  | 接受 | 1369,514,27,18 | enabled=True
148 | ControlType.Custom | CanonicalGraphNode_aggregate_e6d3aa1ddeb941b3939113ef2301a266 | 图节点 击杀3只史莱姆 aggregate_e6d3aa1ddeb941b3939113ef2301a266 | 1822,565,288,114 | enabled=True
149 | ControlType.Text |  | 击杀3只史莱姆 | 1834,574,263,22 | enabled=True
150 | ControlType.Button | CanonicalGraphPort_aggregate_e6d3aa1ddeb941b3939113ef2301a266_flow_in | aggregate_e6d3aa1ddeb941b3939113ef2301a266 输入端口 flow_in (Flow) | 1832,611,134,25 | enabled=True
151 | ControlType.Text |  | 流程输入 | 1863,615,54,17 | enabled=True
152 | ControlType.Button | CanonicalGraphPort_aggregate_e6d3aa1ddeb941b3939113ef2301a266_dynamic_port_8a66683d24ed4c09b54b7eeb426000bb | aggregate_e6d3aa1ddeb941b3939113ef2301a266 输出端口 dynamic_port_8a66683d24ed4c09b54b7eeb426000bb (Flow) | 1966,611,134,25 | enabled=True
153 | ControlType.Text |  | 结算 | 2041,615,28,17 | enabled=True
154 | ControlType.Custom | CanonicalGraphNode_aggregate_d8d3836555b74d298c315a0a666d4eb6 | 图节点 任务完成 aggregate_d8d3836555b74d298c315a0a666d4eb6 | 2243,552,288,114 | enabled=True
155 | ControlType.Text |  | 任务完成 | 2256,561,263,22 | enabled=True
156 | ControlType.Button | CanonicalGraphPort_aggregate_d8d3836555b74d298c315a0a666d4eb6_flow_in | aggregate_d8d3836555b74d298c315a0a666d4eb6 输入端口 flow_in (Flow) | 2253,597,134,25 | enabled=True
157 | ControlType.Text |  | 流程输入 | 2284,601,55,18 | enabled=True
158 | ControlType.Button | CanonicalGraphPort_aggregate_d8d3836555b74d298c315a0a666d4eb6_dynamic_port_6befb0bada104d8a954c697c0439ed6f | aggregate_d8d3836555b74d298c315a0a666d4eb6 输出端口 dynamic_port_6befb0bada104d8a954c697c0439ed6f (Flow) | 2387,597,134,25 | enabled=True
159 | ControlType.Text |  | 结束 | 2463,601,27,18 | enabled=True
160 | ControlType.Custom | CanonicalGraphNode_node_9c0791b6b8a0440cb378762eb4d49b8d | 图节点 终止 node_9c0791b6b8a0440cb378762eb4d49b8d | 2763,616,287,114 | enabled=True
161 | ControlType.Text |  | 终止 | 2775,625,263,22 | enabled=True
162 | ControlType.Button | CanonicalGraphPort_node_9c0791b6b8a0440cb378762eb4d49b8d_flow_in | node_9c0791b6b8a0440cb378762eb4d49b8d 输入端口 flow_in (Flow) | 2773,662,134,25 | enabled=True
163 | ControlType.Text |  | 流程输入 | 2804,666,54,17 | enabled=True
164 | ControlType.Custom | CanonicalGraphNode_node_e376292a512840f2a3fa6a083828c0b0 | 图节点 标题 node_e376292a512840f2a3fa6a083828c0b0 | 1475,536,287,114 | enabled=True
165 | ControlType.Text |  | 标题 | 1487,544,263,22 | enabled=True
166 | ControlType.Button | CanonicalGraphPort_node_e376292a512840f2a3fa6a083828c0b0_flow_in | node_e376292a512840f2a3fa6a083828c0b0 输入端口 flow_in (Flow) | 1485,581,133,25 | enabled=True
167 | ControlType.Text |  | 流程输入 | 1516,585,54,17 | enabled=True
168 | ControlType.Button | CanonicalGraphPort_node_e376292a512840f2a3fa6a083828c0b0_flow_out | node_e376292a512840f2a3fa6a083828c0b0 输出端口 flow_out (Flow) | 1618,581,134,25 | enabled=True
169 | ControlType.Text |  | 流程输出 | 1667,585,54,17 | enabled=True
170 | ControlType.Thumb |  |  | 1288,184,9,662 | enabled=True
171 | ControlType.Text |  | Story | 1319,203,37,19 | enabled=True
172 | ControlType.Text |  | 测试故事 | 1319,227,306,30 | enabled=True
173 | ControlType.Text |  | 已保存 | 1319,257,306,22 | enabled=True
174 | ControlType.Pane | CanonicalInspectorScrollViewer |  | 1319,297,306,529 | enabled=True
